prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
122,10-B,Norwegian sea,ACTIVE,NO,28.02.1986,28.02.2025,424.012,81.758,PRODUCTION,21788,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21788,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21788,11.12.2018,11.12.2018,20.02.2019
122 B,Awarded additionally to round 10 B,Norwegian sea,ACTIVE,NO,14.06.2002,28.02.2025,7.037,5.629,PRODUCTION,2134110,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=2134110,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=2134110,11.12.2018,11.12.2018,20.02.2019
122 C,TFO2004,Norwegian sea,ACTIVE,NO,17.12.2004,28.02.2025,5.622,4.217,PRODUCTION,2987454,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=2987454,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=2987454,11.12.2018,11.12.2018,20.02.2019
122 D,TFO2005,Norwegian sea,ACTIVE,NO,06.01.2006,28.02.2025,7.028,7.028,PRODUCTION,3811939,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3811939,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=3811939,11.12.2018,11.12.2018,20.02.2019
123,10-B,Norwegian sea,INACTIVE,NO,28.02.1986,28.02.1992,428.120,0.000,,21796,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21796,,10.03.2018,10.03.2018,20.02.2019
124,10-B,Norwegian sea,ACTIVE,NO,28.02.1986,28.02.2025,432.220,99.273,PRODUCTION,21804,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21804,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21804,11.12.2018,11.12.2018,20.02.2019
125,10-B,Norwegian sea,INACTIVE,NO,28.02.1986,14.03.1990,428.120,0.000,,21812,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21812,,10.03.2018,10.03.2018,20.02.2019
126,10-B,Norwegian sea,INACTIVE,NO,28.02.1986,28.02.1992,411.636,0.000,,21820,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21820,,10.03.2018,10.03.2018,20.02.2019
127,10-B,Norwegian sea,ACTIVE,NO,28.02.1986,28.02.2023,419.895,61.114,PRODUCTION,21828,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21828,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21828,08.12.2018,09.12.2018,20.02.2019
127 B,TFO2014,Norwegian sea,ACTIVE,NO,06.02.2015,06.02.2023,42.033,42.033,INITIAL,25611917,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=25611917,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=25611917,08.12.2018,09.12.2018,20.02.2019
127 C,10-B,Norwegian sea,ACTIVE,NO,27.03.2017,28.03.2023,31.603,31.603,PRODUCTION,29427330,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=29427330,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=29427330,08.12.2018,09.12.2018,20.02.2019
